YEAR,MO,DY,HR,IRRADIATION
2020,1,25,6,0.0
2020,1,25,7,0.0
2020,1,25,8,46.91
2020,1,25,9,192.4
2020,1,25,10,287.09
2020,1,25,11,358.76
2020,1,25,12,402.3
2020,1,25,13,357.14
2020,1,25,14,292.2
2020,1,25,15,206.66
2020,1,25,16,73.73
2020,1,25,17,0.0
2020,1,25,18,0.0
2020,1,25,19,0.0
2020,1,25,20,0.0
2020,1,25,21,0.0
2020,1,25,22,0.0
2020,1,25,23,0.0
2020,1,26,0,0.0
2020,1,26,1,0.0
2020,1,26,2,0.0
2020,1,26,3,0.0
2020,1,26,4,0.0
2020,1,26,5,0.0
2020,1,26,6,0.0
2020,1,26,7,0.0
2020,1,26,8,40.09
2020,1,26,9,179.17
2020,1,26,10,203.6
2020,1,26,11,259.89
2020,1,26,12,303.23
2020,1,26,13,320.12
2020,1,26,14,261.67
2020,1,26,15,180.35
2020,1,26,16,71.23
2020,1,26,17,0.0
2020,1,26,18,0.0
2020,1,26,19,0.0
2020,1,26,20,0.0
2020,1,26,21,0.0
2020,1,26,22,0.0
2020,1,26,23,0.0
2020,1,27,0,0.0
2020,1,27,1,0.0
2020,1,27,2,0.0
2020,1,27,3,0.0
2020,1,27,4,0.0
2020,1,27,5,0.0
2020,1,27,6,0.0
2020,1,27,7,0.0
2020,1,27,8,38.71
2020,1,27,9,135.62
2020,1,27,10,212.7
2020,1,27,11,267.87
2020,1,27,12,281.42
2020,1,27,13,240.62
2020,1,27,14,185.13
2020,1,27,15,115.31
2020,1,27,16,41.29
2020,1,27,17,0.0
2020,1,27,18,0.0
2020,1,27,19,0.0
2020,1,27,20,0.0
2020,1,27,21,0.0
2020,1,27,22,0.0
2020,1,27,23,0.0
2020,1,28,0,0.0
2020,1,28,1,0.0
2020,1,28,2,0.0
2020,1,28,3,0.0
2020,1,28,4,0.0
2020,1,28,5,0.0
2020,1,28,6,0.0
2020,1,28,7,0.0
2020,1,28,8,50.48
2020,1,28,9,174.55
2020,1,28,10,243.35
2020,1,28,11,325.68
2020,1,28,12,353.73
2020,1,28,13,284.88
2020,1,28,14,223.65
2020,1,28,15,150.8
2020,1,28,16,49.25
2020,1,28,17,0.0
2020,1,28,18,0.0
2020,1,28,19,0.0
2020,1,28,20,0.0
2020,1,28,21,0.0
2020,1,28,22,0.0
2020,1,28,23,0.0
2020,1,29,0,0.0
2020,1,29,1,0.0
2020,1,29,2,0.0
2020,1,29,3,0.0
2020,1,29,4,0.0
2020,1,29,5,0.0
2020,1,29,6,0.0
2020,1,29,7,0.0
2020,1,29,8,28.28
2020,1,29,9,83.56
2020,1,29,10,179.14
2020,1,29,11,239.05
2020,1,29,12,385.76
2020,1,29,13,370.26
2020,1,29,14,308.05
2020,1,29,15,217.19
2020,1,29,16,89.23
2020,1,29,17,0.0
2020,1,29,18,0.0
2020,1,29,19,0.0
2020,1,29,20,0.0
2020,1,29,21,0.0
2020,1,29,22,0.0
2020,1,29,23,0.0
2020,1,30,0,0.0
2020,1,30,1,0.0
2020,1,30,2,0.0
2020,1,30,3,0.0
2020,1,30,4,0.0
2020,1,30,5,0.0
2020,1,30,6,0.0
2020,1,30,7,0.0
2020,1,30,8,44.26
2020,1,30,9,116.27
2020,1,30,10,169.38
2020,1,30,11,258.97
2020,1,30,12,273.71
2020,1,30,13,300.66
2020,1,30,14,242.51
2020,1,30,15,171.59
2020,1,30,16,67.08
2020,1,30,17,0.0
2020,1,30,18,0.0
2020,1,30,19,0.0
2020,1,30,20,0.0
2020,1,30,21,0.0
2020,1,30,22,0.0
2020,1,30,23,0.0
2020,1,31,0,0.0
2020,1,31,1,0.0
2020,1,31,2,0.0
2020,1,31,3,0.0
2020,1,31,4,0.0
2020,1,31,5,0.0
2020,1,31,6,0.0
2020,1,31,7,0.0
2020,1,31,8,36.59
2020,1,31,9,118.53
2020,1,31,10,195.62
2020,1,31,11,218.77
2020,1,31,12,169.48
2020,1,31,13,202.7
